dateid,date,day,month,year,quarter
01072005,2005-07-01,01,07,2005,Q3
08052019,2019-05-08,08,05,2019,Q2
01102004,2004-10-01,01,10,2004,Q4
01072004,2004-07-01,01,07,2004,Q3
31032019,2019-03-31,31,03,2019,Q1
01032004,2004-03-01,01,03,2004,Q1
31052019,2019-05-31,31,05,2019,Q2
01112003,2003-11-01,01,11,2003,Q4
08102019,2019-10-08,08,10,2019,Q4
01122003,2003-12-01,01,12,2003,Q4
27032019,2019-03-27,27,03,2019,Q1
01022004,2004-02-01,01,02,2004,Q1
13022020,2020-02-13,13,02,2020,Q1
10062019,2019-06-10,10,06,2019,Q2
01052005,2005-05-01,01,05,2005,Q2
04052019,2019-05-04,04,05,2019,Q2
01012004,2004-01-01,01,01,2004,Q1
01062019,2019-06-01,01,06,2019,Q2
01092003,2003-09-01,01,09,2003,Q3
07102019,2019-10-07,07,10,2019,Q4
01042004,2004-04-01,01,04,2004,Q2
17022020,2020-02-17,17,02,2020,Q1
01112002,2002-11-01,01,11,2002,Q4
28022019,2019-02-28,28,02,2019,Q1
01062004,2004-06-01,01,06,2004,Q2
21022020,2020-02-21,21,02,2020,Q1
01082004,2004-08-01,01,08,2004,Q3
28052019,2019-05-28,28,05,2019,Q2
19112019,2019-11-19,19,11,2019,Q4
25102019,2019-10-25,25,10,2019,Q4
01032005,2005-03-01,01,03,2005,Q1
09052019,2019-05-09,09,05,2019,Q2
11102019,2019-10-11,11,10,2019,Q4
07052019,2019-05-07,07,05,2019,Q2
01092004,2004-09-01,01,09,2004,Q3
03052019,2019-05-03,03,05,2019,Q2
01122004,2004-12-01,01,12,2004,Q4
06052019,2019-05-06,06,05,2019,Q2
01022003,2003-02-01,01,02,2003,Q1
29032019,2019-03-29,29,03,2019,Q1
01082005,2005-08-01,01,08,2005,Q3
20052019,2019-05-20,20,05,2019,Q2
01012005,2005-01-01,01,01,2005,Q1
01092002,2002-09-01,01,09,2002,Q3
27022019,2019-02-27,27,02,2019,Q1
19022020,2020-02-19,19,02,2020,Q1
20102019,2019-10-20,20,10,2019,Q4
01052004,2004-05-01,01,05,2004,Q2
25082019,2019-08-25,25,08,2019,Q3
01062005,2005-06-01,01,06,2005,Q2
19052019,2019-05-19,19,05,2019,Q2
01042005,2005-04-01,01,04,2005,Q2
01012003,2003-01-01,01,01,2003,Q1
24042019,2019-04-24,24,04,2019,Q2
13032019,2019-03-13,13,03,2019,Q1
11122019,2019-12-11,11,12,2019,Q4
20022019,2019-02-20,20,02,2019,Q1
15032020,2020-03-15,15,03,2020,Q1
02022019,2019-02-02,02,02,2019,Q1
06022019,2019-02-06,06,02,2019,Q1
01102003,2003-10-01,01,10,2003,Q4
12122019,2019-12-12,12,12,2019,Q4
15012020,2020-01-15,15,01,2020,Q1
16012020,2020-01-16,16,01,2020,Q1
12032020,2020-03-12,12,03,2020,Q1
22112019,2019-11-22,22,11,2019,Q4
09032019,2019-03-09,09,03,2019,Q1
10122019,2019-12-10,10,12,2019,Q4
26042019,2019-04-26,26,04,2019,Q2
01022019,2019-02-01,01,02,2019,Q1
22042020,2020-04-22,22,04,2020,Q2
10032020,2020-03-10,10,03,2020,Q1
27042019,2019-04-27,27,04,2019,Q2
28042019,2019-04-28,28,04,2019,Q2
11112019,2019-11-11,11,11,2019,Q4
11032020,2020-03-11,11,03,2020,Q1
22022019,2019-02-22,22,02,2019,Q1
07022019,2019-02-07,07,02,2019,Q1
29012020,2020-01-29,29,01,2020,Q1
15122019,2019-12-15,15,12,2019,Q4
05122019,2019-12-05,05,12,2019,Q4
01112004,2004-11-01,01,11,2004,Q4
03022019,2019-02-03,03,02,2019,Q1
05042019,2019-04-05,05,04,2019,Q2
29012019,2019-01-29,29,01,2019,Q1
25022019,2019-02-25,25,02,2019,Q1
09032020,2020-03-09,09,03,2020,Q1
03032019,2019-03-03,03,03,2019,Q1
02012020,2020-01-02,02,01,2020,Q1
18042020,2020-04-18,18,04,2020,Q2
01032019,2019-03-01,01,03,2019,Q1
25032019,2019-03-25,25,03,2019,Q1
04122019,2019-12-04,04,12,2019,Q4
05022019,2019-02-05,05,02,2019,Q1
16122019,2019-12-16,16,12,2019,Q4
10022019,2019-02-10,10,02,2019,Q1
09122019,2019-12-09,09,12,2019,Q4
04022020,2020-02-04,04,02,2020,Q1
05052019,2019-05-05,05,05,2019,Q2
01022005,2005-02-01,01,02,2005,Q1
21032019,2019-03-21,21,03,2019,Q1
24022019,2019-02-24,24,02,2019,Q1
09042020,2020-04-09,09,04,2020,Q2
21102019,2019-10-21,21,10,2019,Q4
24102019,2019-10-24,24,10,2019,Q4
08112019,2019-11-08,08,11,2019,Q4
26102019,2019-10-26,26,10,2019,Q4
22102019,2019-10-22,22,10,2019,Q4
08092019,2019-09-08,08,09,2019,Q3
15102019,2019-10-15,15,10,2019,Q4
11092019,2019-09-11,11,09,2019,Q3
10112019,2019-11-10,10,11,2019,Q4
06112019,2019-11-06,06,11,2019,Q4
01082006,2006-08-01,01,08,2006,Q3
09102019,2019-10-09,09,10,2019,Q4
01092005,2005-09-01,01,09,2005,Q3
10102019,2019-10-10,10,10,2019,Q4
01022006,2006-02-01,01,02,2006,Q1
06102019,2019-10-06,06,10,2019,Q4
14012020,2020-01-14,14,01,2020,Q1
01072006,2006-07-01,01,07,2006,Q3
04112019,2019-11-04,04,11,2019,Q4
30102019,2019-10-30,30,10,2019,Q4
27032020,2020-03-27,27,03,2020,Q1
01012006,2006-01-01,01,01,2006,Q1
02102019,2019-10-02,02,10,2019,Q4
01052006,2006-05-01,01,05,2006,Q2
08012020,2020-01-08,08,01,2020,Q1
01032006,2006-03-01,01,03,2006,Q1
01112019,2019-11-01,01,11,2019,Q4
08022019,2019-02-08,08,02,2019,Q1
16102019,2019-10-16,16,10,2019,Q4
30012019,2019-01-30,30,01,2019,Q1
04032020,2020-03-04,04,03,2020,Q1
15032019,2019-03-15,15,03,2019,Q1
25022020,2020-02-25,25,02,2020,Q1
01062006,2006-06-01,01,06,2006,Q2
07112019,2019-11-07,07,11,2019,Q4
17032019,2019-03-17,17,03,2019,Q1
15022019,2019-02-15,15,02,2019,Q1
20012020,2020-01-20,20,01,2020,Q1
01042006,2006-04-01,01,04,2006,Q2
05102019,2019-10-05,05,10,2019,Q4
26022019,2019-02-26,26,02,2019,Q1
26012020,2020-01-26,26,01,2020,Q1
14112019,2019-11-14,14,11,2019,Q4
01122005,2005-12-01,01,12,2005,Q4
01112005,2005-11-01,01,11,2005,Q4
09012020,2020-01-09,09,01,2020,Q1
25092019,2019-09-25,25,09,2019,Q3
28092019,2019-09-28,28,09,2019,Q3
20112019,2019-11-20,20,11,2019,Q4
19012020,2020-01-19,19,01,2020,Q1
01102005,2005-10-01,01,10,2005,Q4
23012020,2020-01-23,23,01,2020,Q1
17102019,2019-10-17,17,10,2019,Q4
18022019,2019-02-18,18,02,2019,Q1
23102019,2019-10-23,23,10,2019,Q4
19022019,2019-02-19,19,02,2019,Q1
26092019,2019-09-26,26,09,2019,Q3
17022019,2019-02-17,17,02,2019,Q1
28022020,2020-02-28,28,02,2020,Q1
01032003,2003-03-01,01,03,2003,Q1
23042019,2019-04-23,23,04,2019,Q2
18112019,2019-11-18,18,11,2019,Q4
05012020,2020-01-05,05,01,2020,Q1
26112019,2019-11-26,26,11,2019,Q4
18042019,2019-04-18,18,04,2019,Q2
21112019,2019-11-21,21,11,2019,Q4
25112019,2019-11-25,25,11,2019,Q4
22022020,2020-02-22,22,02,2020,Q1
28112019,2019-11-28,28,11,2019,Q4
18122019,2019-12-18,18,12,2019,Q4
17122019,2019-12-17,17,12,2019,Q4
27112019,2019-11-27,27,11,2019,Q4
09042019,2019-04-09,09,04,2019,Q2
10042019,2019-04-10,10,04,2019,Q2
03042019,2019-04-03,03,04,2019,Q2
18032019,2019-03-18,18,03,2019,Q1
02042020,2020-04-02,02,04,2020,Q2
04042019,2019-04-04,04,04,2019,Q2
12042019,2019-04-12,12,04,2019,Q2
19122019,2019-12-19,19,12,2019,Q4
25042019,2019-04-25,25,04,2019,Q2
01042019,2019-04-01,01,04,2019,Q2
19042019,2019-04-19,19,04,2019,Q2
30032019,2019-03-30,30,03,2019,Q1
04012020,2020-01-04,04,01,2020,Q1
23032020,2020-03-23,23,03,2020,Q1
20032020,2020-03-20,20,03,2020,Q1
30032020,2020-03-30,30,03,2020,Q1
01122002,2002-12-01,01,12,2002,Q4
11022019,2019-02-11,11,02,2019,Q1
23022019,2019-02-23,23,02,2019,Q1
25062019,2019-06-25,25,06,2019,Q2
13022019,2019-02-13,13,02,2019,Q1
02052019,2019-05-02,02,05,2019,Q2
01102002,2002-10-01,01,10,2002,Q4
01082003,2003-08-01,01,08,2003,Q3
02042019,2019-04-02,02,04,2019,Q2
11012020,2020-01-11,11,01,2020,Q1
24032019,2019-03-24,24,03,2019,Q1
10032019,2019-03-10,10,03,2019,Q1
09022019,2019-02-09,09,02,2019,Q1
26032019,2019-03-26,26,03,2019,Q1
11032019,2019-03-11,11,03,2019,Q1
08032019,2019-03-08,08,03,2019,Q1
07012020,2020-01-07,07,01,2020,Q1
14032019,2019-03-14,14,03,2019,Q1
21042020,2020-04-21,21,04,2020,Q2
14022019,2019-02-14,14,02,2019,Q1
20042020,2020-04-20,20,04,2020,Q2
24052019,2019-05-24,24,05,2019,Q2
02062019,2019-06-02,02,06,2019,Q2
10012020,2020-01-10,10,01,2020,Q1
17062019,2019-06-17,17,06,2019,Q2
19032020,2020-03-19,19,03,2020,Q1
07032019,2019-03-07,07,03,2019,Q1
15042019,2019-04-15,15,04,2019,Q2
19032019,2019-03-19,19,03,2019,Q1
20042019,2019-04-20,20,04,2019,Q2
28042020,2020-04-28,28,04,2020,Q2
05062019,2019-06-05,05,06,2019,Q2
22032019,2019-03-22,22,03,2019,Q1
29092019,2019-09-29,29,09,2019,Q3
20092019,2019-09-20,20,09,2019,Q3
22092019,2019-09-22,22,09,2019,Q3
28032019,2019-03-28,28,03,2019,Q1
27012020,2020-01-27,27,01,2020,Q1
17112019,2019-11-17,17,11,2019,Q4
30012020,2020-01-30,30,01,2020,Q1
21092019,2019-09-21,21,09,2019,Q3
05112019,2019-11-05,05,11,2019,Q4
31012019,2019-01-31,31,01,2019,Q1
13012020,2020-01-13,13,01,2020,Q1
01122019,2019-12-01,01,12,2019,Q4
20032019,2019-03-20,20,03,2019,Q1
06022020,2020-02-06,06,02,2020,Q1
03022020,2020-02-03,03,02,2020,Q1
30092019,2019-09-30,30,09,2019,Q3
23032019,2019-03-23,23,03,2019,Q1
01102019,2019-10-01,01,10,2019,Q4
04102019,2019-10-04,04,10,2019,Q4
21012020,2020-01-21,21,01,2020,Q1
24092019,2019-09-24,24,09,2019,Q3
13102019,2019-10-13,13,10,2019,Q4
28012020,2020-01-28,28,01,2020,Q1
10092019,2019-09-10,10,09,2019,Q3
01062003,2003-06-01,01,06,2003,Q2
08032020,2020-03-08,08,03,2020,Q1
13052019,2019-05-13,13,05,2019,Q2
23022020,2020-02-23,23,02,2020,Q1
18072019,2019-07-18,18,07,2019,Q3
01012020,2020-01-01,01,01,2020,Q1
28102019,2019-10-28,28,10,2019,Q4
04022019,2019-02-04,04,02,2019,Q1
24112019,2019-11-24,24,11,2019,Q4
04032019,2019-03-04,04,03,2019,Q1
24122019,2019-12-24,24,12,2019,Q4
30122019,2019-12-30,30,12,2019,Q4
12102019,2019-10-12,12,10,2019,Q4
29102019,2019-10-29,29,10,2019,Q4
22012020,2020-01-22,22,01,2020,Q1
02032019,2019-03-02,02,03,2019,Q1
13062019,2019-06-13,13,06,2019,Q2
14042019,2019-04-14,14,04,2019,Q2
12112019,2019-11-12,12,11,2019,Q4
08122019,2019-12-08,08,12,2019,Q4
12052019,2019-05-12,12,05,2019,Q2
22042019,2019-04-22,22,04,2019,Q2
13042019,2019-04-13,13,04,2019,Q2
05032019,2019-03-05,05,03,2019,Q1
03012020,2020-01-03,03,01,2020,Q1
29112019,2019-11-29,29,11,2019,Q4
13122019,2019-12-13,13,12,2019,Q4
06012020,2020-01-06,06,01,2020,Q1
06032019,2019-03-06,06,03,2019,Q1
29042019,2019-04-29,29,04,2019,Q2
13032020,2020-03-13,13,03,2020,Q1
16022019,2019-02-16,16,02,2019,Q1
07042020,2020-04-07,07,04,2020,Q2
11052019,2019-05-11,11,05,2019,Q2
14102019,2019-10-14,14,10,2019,Q4
02122019,2019-12-02,02,12,2019,Q4
18022020,2020-02-18,18,02,2020,Q1
17052019,2019-05-17,17,05,2019,Q2
13112019,2019-11-13,13,11,2019,Q4
29122019,2019-12-29,29,12,2019,Q4
11022020,2020-02-11,11,02,2020,Q1
12012020,2020-01-12,12,01,2020,Q1
03112019,2019-11-03,03,11,2019,Q4
17032020,2020-03-17,17,03,2020,Q1
09112019,2019-11-09,09,11,2019,Q4
29032020,2020-03-29,29,03,2020,Q1
31102019,2019-10-31,31,10,2019,Q4
28062019,2019-06-28,28,06,2019,Q2
01052003,2003-05-01,01,05,2003,Q2
14122019,2019-12-14,14,12,2019,Q4
15062019,2019-06-15,15,06,2019,Q2
05022020,2020-02-05,05,02,2020,Q1
01032020,2020-03-01,01,03,2020,Q1
27062019,2019-06-27,27,06,2019,Q2
27022020,2020-02-27,27,02,2020,Q1
18102019,2019-10-18,18,10,2019,Q4
23062019,2019-06-23,23,06,2019,Q2
16042019,2019-04-16,16,04,2019,Q2
07062019,2019-06-07,07,06,2019,Q2
04062019,2019-06-04,04,06,2019,Q2
20122019,2019-12-20,20,12,2019,Q4
06032020,2020-03-06,06,03,2020,Q1
30052019,2019-05-30,30,05,2019,Q2
12022019,2019-02-12,12,02,2019,Q1
27092019,2019-09-27,27,09,2019,Q3
03102019,2019-10-03,03,10,2019,Q4
30062019,2019-06-30,30,06,2019,Q2
16052019,2019-05-16,16,05,2019,Q2
27042020,2020-04-27,27,04,2020,Q2
15042020,2020-04-15,15,04,2020,Q2
23052019,2019-05-23,23,05,2019,Q2
06062019,2019-06-06,06,06,2019,Q2
02032020,2020-03-02,02,03,2020,Q1
29042020,2020-04-29,29,04,2020,Q2
16032019,2019-03-16,16,03,2019,Q1
26062019,2019-06-26,26,06,2019,Q2
16062019,2019-06-16,16,06,2019,Q2
23042020,2020-04-23,23,04,2020,Q2
11072019,2019-07-11,11,07,2019,Q3
10052019,2019-05-10,10,05,2019,Q2
09022020,2020-02-09,09,02,2020,Q1
02112019,2019-11-02,02,11,2019,Q4
01012008,2008-01-01,01,01,2008,Q1
10022020,2020-02-10,10,02,2020,Q1
07022020,2020-02-07,07,02,2020,Q1
12092019,2019-09-12,12,09,2019,Q3
24022020,2020-02-24,24,02,2020,Q1
21042019,2019-04-21,21,04,2019,Q2
08042019,2019-04-08,08,04,2019,Q2
24062019,2019-06-24,24,06,2019,Q2
06042019,2019-04-06,06,04,2019,Q2
07122019,2019-12-07,07,12,2019,Q4
27102019,2019-10-27,27,10,2019,Q4
01072003,2003-07-01,01,07,2003,Q3
31012020,2020-01-31,31,01,2020,Q1
20062019,2019-06-20,20,06,2019,Q2
21022019,2019-02-21,21,02,2019,Q1
03062019,2019-06-03,03,06,2019,Q2
06072019,2019-07-06,06,07,2019,Q3
15112019,2019-11-15,15,11,2019,Q4
09062019,2019-06-09,09,06,2019,Q2
01052019,2019-05-01,01,05,2019,Q2
01032007,2007-03-01,01,03,2007,Q1
01092006,2006-09-01,01,09,2006,Q3
01022007,2007-02-01,01,02,2007,Q1
01082007,2007-08-01,01,08,2007,Q3
01112006,2006-11-01,01,11,2006,Q4
01052007,2007-05-01,01,05,2007,Q2
14052019,2019-05-14,14,05,2019,Q2
01012007,2007-01-01,01,01,2007,Q1
01122008,2008-12-01,01,12,2008,Q4
01062009,2009-06-01,01,06,2009,Q2
01102008,2008-10-01,01,10,2008,Q4
01122006,2006-12-01,01,12,2006,Q4
01092007,2007-09-01,01,09,2007,Q3
01102007,2007-10-01,01,10,2007,Q4
01102006,2006-10-01,01,10,2006,Q4
01022008,2008-02-01,01,02,2008,Q1
01032008,2008-03-01,01,03,2008,Q1
01072009,2009-07-01,01,07,2009,Q3
24012020,2020-01-24,24,01,2020,Q1
01062007,2007-06-01,01,06,2007,Q2
01072007,2007-07-01,01,07,2007,Q3
01012009,2009-01-01,01,01,2009,Q1
01072008,2008-07-01,01,07,2008,Q3
01032009,2009-03-01,01,03,2009,Q1
01122007,2007-12-01,01,12,2007,Q4
01042007,2007-04-01,01,04,2007,Q2
11042020,2020-04-11,11,04,2020,Q2
03122019,2019-12-03,03,12,2019,Q4
23112019,2019-11-23,23,11,2019,Q4
01042003,2003-04-01,01,04,2003,Q2
30042019,2019-04-30,30,04,2019,Q2
01042020,2020-04-01,01,04,2020,Q2
24042020,2020-04-24,24,04,2020,Q2
09072019,2019-07-09,09,07,2019,Q3
01042008,2008-04-01,01,04,2008,Q2
01062008,2008-06-01,01,06,2008,Q2
10042020,2020-04-10,10,04,2020,Q2
01112007,2007-11-01,01,11,2007,Q4
07092019,2019-09-07,07,09,2019,Q3
30112019,2019-11-30,30,11,2019,Q4
16112019,2019-11-16,16,11,2019,Q4
04072019,2019-07-04,04,07,2019,Q3
01112008,2008-11-01,01,11,2008,Q4
01092008,2008-09-01,01,09,2008,Q3
16032020,2020-03-16,16,03,2020,Q1
05032020,2020-03-05,05,03,2020,Q1
01052008,2008-05-01,01,05,2008,Q2
19092019,2019-09-19,19,09,2019,Q3
13092019,2019-09-13,13,09,2019,Q3
18092019,2019-09-18,18,09,2019,Q3
16092019,2019-09-16,16,09,2019,Q3
17092019,2019-09-17,17,09,2019,Q3
28032020,2020-03-28,28,03,2020,Q1
15092019,2019-09-15,15,09,2019,Q3
14092019,2019-09-14,14,09,2019,Q3
01052009,2009-05-01,01,05,2009,Q2
01022009,2009-02-01,01,02,2009,Q1
01082008,2008-08-01,01,08,2008,Q3
01082009,2009-08-01,01,08,2009,Q3
12022020,2020-02-12,12,02,2020,Q1
18012020,2020-01-18,18,01,2020,Q1
23092019,2019-09-23,23,09,2019,Q3
07032020,2020-03-07,07,03,2020,Q1
26052019,2019-05-26,26,05,2019,Q2
14032020,2020-03-14,14,03,2020,Q1
20022020,2020-02-20,20,02,2020,Q1
29082019,2019-08-29,29,08,2019,Q3
16022020,2020-02-16,16,02,2020,Q1
29062019,2019-06-29,29,06,2019,Q2
01072019,2019-07-01,01,07,2019,Q3
14022020,2020-02-14,14,02,2020,Q1
26022020,2020-02-26,26,02,2020,Q1
08022020,2020-02-08,08,02,2020,Q1
24032020,2020-03-24,24,03,2020,Q1
17012020,2020-01-17,17,01,2020,Q1
25012020,2020-01-25,25,01,2020,Q1
02022020,2020-02-02,02,02,2020,Q1
01022020,2020-02-01,01,02,2020,Q1
25032020,2020-03-25,25,03,2020,Q1
07042019,2019-04-07,07,04,2019,Q2
08062019,2019-06-08,08,06,2019,Q2
08042020,2020-04-08,08,04,2020,Q2
23072019,2019-07-23,23,07,2019,Q3
15072019,2019-07-15,15,07,2019,Q3
11062019,2019-06-11,11,06,2019,Q2
21052019,2019-05-21,21,05,2019,Q2
22052019,2019-05-22,22,05,2019,Q2
14062019,2019-06-14,14,06,2019,Q2
26042020,2020-04-26,26,04,2020,Q2
07072019,2019-07-07,07,07,2019,Q3
19072019,2019-07-19,19,07,2019,Q3
03042020,2020-04-03,03,04,2020,Q2
31072019,2019-07-31,31,07,2019,Q3
18032020,2020-03-18,18,03,2020,Q1
26032020,2020-03-26,26,03,2020,Q1
15022020,2020-02-15,15,02,2020,Q1
25052019,2019-05-25,25,05,2019,Q2
12032019,2019-03-12,12,03,2019,Q1
27052019,2019-05-27,27,05,2019,Q2
29052019,2019-05-29,29,05,2019,Q2
12062019,2019-06-12,12,06,2019,Q2
19062019,2019-06-19,19,06,2019,Q2
11042019,2019-04-11,11,04,2019,Q2
22032020,2020-03-22,22,03,2020,Q1
15052019,2019-05-15,15,05,2019,Q2
03072019,2019-07-03,03,07,2019,Q3
02072019,2019-07-02,02,07,2019,Q3
21032020,2020-03-21,21,03,2020,Q1
31032020,2020-03-31,31,03,2020,Q1
19042020,2020-04-19,19,04,2020,Q2
03032020,2020-03-03,03,03,2020,Q1
19102019,2019-10-19,19,10,2019,Q4
06122019,2019-12-06,06,12,2019,Q4
25042020,2020-04-25,25,04,2020,Q2
18052019,2019-05-18,18,05,2019,Q2
17042020,2020-04-17,17,04,2020,Q2
06092019,2019-09-06,06,09,2019,Q3
29022020,2020-02-29,29,02,2020,Q1
12072019,2019-07-12,12,07,2019,Q3
25122019,2019-12-25,25,12,2019,Q4
06042020,2020-04-06,06,04,2020,Q2
23122019,2019-12-23,23,12,2019,Q4
28122019,2019-12-28,28,12,2019,Q4
27122019,2019-12-27,27,12,2019,Q4
18062019,2019-06-18,18,06,2019,Q2
08072019,2019-07-08,08,07,2019,Q3
10072019,2019-07-10,10,07,2019,Q3
18082019,2019-08-18,18,08,2019,Q3
01072002,2002-07-01,01,07,2002,Q3
17042019,2019-04-17,17,04,2019,Q2
26122019,2019-12-26,26,12,2019,Q4
21122019,2019-12-21,21,12,2019,Q4
31122019,2019-12-31,31,12,2019,Q4
14072019,2019-07-14,14,07,2019,Q3
12042020,2020-04-12,12,04,2020,Q2
01092019,2019-09-01,01,09,2019,Q3
17072019,2019-07-17,17,07,2019,Q3
23082019,2019-08-23,23,08,2019,Q3
05042020,2020-04-05,05,04,2020,Q2
05082019,2019-08-05,05,08,2019,Q3
02092019,2019-09-02,02,09,2019,Q3
03092019,2019-09-03,03,09,2019,Q3
12082019,2019-08-12,12,08,2019,Q3
15082019,2019-08-15,15,08,2019,Q3
05072019,2019-07-05,05,07,2019,Q3
04042020,2020-04-04,04,04,2020,Q2
05092019,2019-09-05,05,09,2019,Q3
22062019,2019-06-22,22,06,2019,Q2
09092019,2019-09-09,09,09,2019,Q3
14082019,2019-08-14,14,08,2019,Q3
01102001,2001-10-01,01,10,2001,Q4
13042020,2020-04-13,13,04,2020,Q2
29072019,2019-07-29,29,07,2019,Q3
14042020,2020-04-14,14,04,2020,Q2
13082019,2019-08-13,13,08,2019,Q3
16072019,2019-07-16,16,07,2019,Q3
01032001,2001-03-01,01,03,2001,Q1
01042009,2009-04-01,01,04,2009,Q2
01112009,2009-11-01,01,11,2009,Q4
01012010,2010-01-01,01,01,2010,Q1
01122009,2009-12-01,01,12,2009,Q4
01102009,2009-10-01,01,10,2009,Q4
28082019,2019-08-28,28,08,2019,Q3
01052010,2010-05-01,01,05,2010,Q2
16042020,2020-04-16,16,04,2020,Q2
01042010,2010-04-01,01,04,2010,Q2
01092009,2009-09-01,01,09,2009,Q3
01032010,2010-03-01,01,03,2010,Q1
01042012,2012-04-01,01,04,2012,Q2
01062012,2012-06-01,01,06,2012,Q2
01082011,2011-08-01,01,08,2011,Q3
01092011,2011-09-01,01,09,2011,Q3
01022012,2012-02-01,01,02,2012,Q1
01012012,2012-01-01,01,01,2012,Q1
01122011,2011-12-01,01,12,2011,Q4
01052012,2012-05-01,01,05,2012,Q2
01072012,2012-07-01,01,07,2012,Q3
01032012,2012-03-01,01,03,2012,Q1
01082012,2012-08-01,01,08,2012,Q3
01102010,2010-10-01,01,10,2010,Q4
01012011,2011-01-01,01,01,2011,Q1
01082010,2010-08-01,01,08,2010,Q3
01062010,2010-06-01,01,06,2010,Q2
01102011,2011-10-01,01,10,2011,Q4
01032011,2011-03-01,01,03,2011,Q1
01062011,2011-06-01,01,06,2011,Q2
01112011,2011-11-01,01,11,2011,Q4
01092010,2010-09-01,01,09,2010,Q3
01042011,2011-04-01,01,04,2011,Q2
01072011,2011-07-01,01,07,2011,Q3
01072010,2010-07-01,01,07,2010,Q3
22122019,2019-12-22,22,12,2019,Q4
01022010,2010-02-01,01,02,2010,Q1
01112010,2010-11-01,01,11,2010,Q4
01022011,2011-02-01,01,02,2011,Q1
01052011,2011-05-01,01,05,2011,Q2
21062019,2019-06-21,21,06,2019,Q2
02082019,2019-08-02,02,08,2019,Q3
01082019,2019-08-01,01,08,2019,Q3
04082019,2019-08-04,04,08,2019,Q3
07082019,2019-08-07,07,08,2019,Q3
01012002,2002-01-01,01,01,2002,Q1
01122010,2010-12-01,01,12,2010,Q4
25072019,2019-07-25,25,07,2019,Q3
28072019,2019-07-28,28,07,2019,Q3
31082019,2019-08-31,31,08,2019,Q3
13072019,2019-07-13,13,07,2019,Q3
20072019,2019-07-20,20,07,2019,Q3
30082019,2019-08-30,30,08,2019,Q3
22082019,2019-08-22,22,08,2019,Q3
27082019,2019-08-27,27,08,2019,Q3
19082019,2019-08-19,19,08,2019,Q3
08082019,2019-08-08,08,08,2019,Q3
06082019,2019-08-06,06,08,2019,Q3
04092019,2019-09-04,04,09,2019,Q3
26072019,2019-07-26,26,07,2019,Q3
11082019,2019-08-11,11,08,2019,Q3
30072019,2019-07-30,30,07,2019,Q3
27072019,2019-07-27,27,07,2019,Q3
24072019,2019-07-24,24,07,2019,Q3
16082019,2019-08-16,16,08,2019,Q3
20082019,2019-08-20,20,08,2019,Q3
21072019,2019-07-21,21,07,2019,Q3
22072019,2019-07-22,22,07,2019,Q3
17082019,2019-08-17,17,08,2019,Q3
26082019,2019-08-26,26,08,2019,Q3
01042001,2001-04-01,01,04,2001,Q2
09082019,2019-08-09,09,08,2019,Q3
01112001,2001-11-01,01,11,2001,Q4
03082019,2019-08-03,03,08,2019,Q3
01122012,2012-12-01,01,12,2012,Q4
10082019,2019-08-10,10,08,2019,Q3
21082019,2019-08-21,21,08,2019,Q3
01112000,2000-11-01,01,11,2000,Q4
01032013,2013-03-01,01,03,2013,Q1
01012013,2013-01-01,01,01,2013,Q1
01102012,2012-10-01,01,10,2012,Q4
01112012,2012-11-01,01,11,2012,Q4
01072013,2013-07-01,01,07,2013,Q3
01062002,2002-06-01,01,06,2002,Q2
01032002,2002-03-01,01,03,2002,Q1
24082019,2019-08-24,24,08,2019,Q3
01022013,2013-02-01,01,02,2013,Q1
01082013,2013-08-01,01,08,2013,Q3
01042013,2013-04-01,01,04,2013,Q2
01062013,2013-06-01,01,06,2013,Q2
